Batch size,Metric,Naive,Turbo,Speedup,Turbo,Speedup,
Batch size,Metric,Naive,Turbo,Speedup,w/o h2d,w/o h2d,
,,,,,w/o h2d,w/o h2d,
,,,,,,,
1,TTFT (ms),711,175,4.1x,44,16.1x,
1,TFLOPs,136.36,2.09,4.1x,2.09,16.1x,
,TFLOPs,136.36,2.09,,2.09,,
,,,,,,,
2,TTFT (ms),1408,325,4.3x,56,25.1x,
2,TFLOPs,272.72,4.19,4.3x,4.19,25.1x,
,TFLOPs,272.72,4.19,,4.19,,
,,,,,,,
4,TTFT (ms),2842,666,4.3x,97,29.3x,
4,TFLOPs,545.46,8.39,4.3x,8.39,29.3x,
,TFLOPs,545.46,8.39,,8.39,,
,,,,,,,
6,TTFT (ms),4373,928,4.7x,134,32.6x,
6,TFLOPs,818.20,12.58,4.7x,12.58,32.6x,
,TFLOPs,818.20,12.58,,12.58,,
,,,,,,,
8,TTFT (ms),5812,1429,4.1x,177,32.8x,
8,TFLOPs,1090.93,16.78,4.1x,16.78,32.8x,
,TFLOPs,1090.93,16.78,,16.78,,
,,,,,,,
