Query,When is the premiere of ’Carole King & James Taylor:  Just Call Out My
,Name’?
Document 1,Duke capped off a remarkable season by beating UCF 30-13 on Wednesday
,in the Military Bowl — the program’s first bowl win since 2018.  With the
,"win, Duke got to nine wins for the first time since 2014. Mike Elko has done"
,one of the best coaching jobs in the country in his first season with the Blue
,Devils. The program was barely competitive in David Cutcliffe’s final seasons
,"on the job, going a combined 5-18 (1-17 ACC) in his final two years. With"
,"Wednesday’s win, Duke finished the season 9-4 overall with a 5-3 mark in ACC"
,play.  It was just the third season in school history that the Blue Devils had
,finished with a winning conference record and won a bowl game. Washington:
,"After going 4-8 in 2021, Washington capped off a tremendous turnaround by"
,"beating Texas 27-20 in the Alamo Bowl. With the win, Washington finished the"
,season with 11 wins — the most it has had in a season since 2016. That’s the
,year the Huskies reached the College Football Playoff...
Document 2,Personal Preference Personal Preference is a 1987 board game created by Donal
,"Carlston that involves guessing the order in which a player prefers foods, activi-"
,"ties, people, and other items compared to one another. The game was published"
,"by Broderbund in the United States, Playtoy Industries in Canada, and Parker"
,Brothers International in Britain. An updated version by the original creator
,"was launched on Kickstarter on May 1, 2023. The new version contains up-"
,dated cultural references and new categories. Original 1987 Version The game
,"contains cards in four categories: Food & Drink, Activities, People, and Pot-"
,pourri (miscellaneous). Each card has a photo or drawing on each side and text
,"indicating what that side represents (e.g., chocolate eclairs,´ climbing a moun-"
,"tain, Harrison Ford, spy novels). Each round, one player draws four cards from"
,"one category, or one from each category, depending on the player’s position on"
,the board. Each card is placed in a colored quadrant of the board...
Document 3,"However, the concert tour took place in honor of the 40th anniversary. The two"
,might have aged since they first performed together but neither Carole King
,nor James Taylor have lost a beat in all these years!The concert film includes
,the following songs:(You Make Me Feel Like) A Natural WomanSomething
,in the Way She MovesSo Far AwayCarolina in My MindCountry RoadSmack-
,water JackWhere You Lead (lyrics changed up as the city they’re playing in
,replaces New York)Your Smiling FaceBeautifulShower The PeopleWay Over
,YonderSweet Baby James (this kicks off the second half of the film)Up on
,the RoofIt’s Too LateFire and RainI Feel the Earth MoveYou’ve Got a Friend-
,How Sweet It Is (To Be Loved by You)You Can Close Your EyesMexico (end
,"credits)DIRECTOR: Frank MarshallFEATURING: Carole King, James Tay-"
,"lor, Danny Kortchmar, Peter Asher, Russ Kunkel, Leland SklarADDITIONAL"
,"MUSICIANS: Andrea Zonn, Arnold McCuller, Kate Markowitz, Robbie Kon-"
,dorCarole King & James Taylor: Just Call Out My Name premiered January
,"2, 2022, at 9:00pm ET/PT on CNN. The film will be available on demand via"
,"cable/satellite systems, CNNgo platforms, and CNN mobile apps, beginning"
,"Monday, January 3, through Sunday, January 16."
Document 4,I was also raised to see the correlation between life and the game of football
,and how the process of preparation leads to success in both.” Jason earned a
,"bachelors in history, government and philosophy at Adams State in 2005, and"
,a masters in criminal justice administration from the University of Phoenix in
,2007. He added a second master’s in educational methods from the University
,"of Tulsa in 2012. He was a defensive coordinator at the University of Montana,"
,"a co-defensive coordinator at Adams State, a defensive coordinator at Valdosta"
,"State and the Colorado School of Mines, a defensive advisor at Temple Univer-"
,"sity, served as a defensive assistant at Oklahoma State for two years — after a"
,two-season stay with fellow FBS program Tulsa as outside linebackers coach...
