Subcategory,Context,Query,,,Score,,,TTFT (ms),TTFT (ms),TTFT (ms),
Subcategory,Context,Query,,,,,,,,,
Subcategory,Context,Query,,,Turbo,Turbo,,Turbo,,,
,Token,Token,Na¨ıve,Na¨ıve,Turbo,Turbo,Na¨ıve,Turbo,Speedup,Speedup,
,,,,,composite,reordered,,reordered,,,
musique,16349,18.8,22.12,22.12,23.64,27.37,1610,171,9.4x,9.4x,
2wikimqa,7553,17.0,35.02,35.02,34.28,39.51,709,101,7.0x,7.0x,
dureader(zh),10642,6.0,34.57,34.57,33.37,33.03,1007,116,8.7x,8.7x,
hotpotqa,13453,20.1,40.21,40.21,35.78,45.28,1333,147,9.1x,9.1x,
,,,,,,,,,,,
Avg.,11999,15.5,32.99,32.99,31.76,36.29,1165,134,8.6x,8.6x,
,,,,,,,,,,,
